fold,MAE,RMSE,R2
1,43.69414239142245,56.036494762275375,0.9427902711237104
2,31.320424581563955,41.62731336159361,0.9789733482404219
3,33.195019330106454,44.007942179706234,0.9717275446324475
4,26.669494919438105,34.60924549543086,0.9832109621879848
