Fold,Accuracy,F1_macro,F1_micro,F1_weighted,Top3_Acc,Precision,Recall,Best_iter,ROC_AUC_OVR
1,0.43361825640791235,0.38529976262989174,0.43361825640791235,0.44215580411938793,0.8309773851832383,0.5361814063597975,0.43361825640791235,795,0.8577747855564685
2,0.43286404826932084,0.3833805486198192,0.43286404826932084,0.4420492399070986,0.8306288496040407,0.5358217226626117,0.43286404826932084,800,0.8574217412530933
3,0.4308210059594211,0.381423774819939,0.4308210059594211,0.4391212908990674,0.8302222069856071,0.5327291349507297,0.4308210059594211,800,0.8573567257183412
4,0.43012964454881525,0.3815183594838396,0.43012964454881525,0.43868434551853586,0.8309992743562054,0.534138812873836,0.43012964454881525,795,0.8572327008684467
5,0.43004965231948894,0.38128047798428955,0.43004965231948894,0.4385490852666129,0.8306793054389002,0.5333931573963656,0.43004965231948894,800,0.8570843398676438
